name,slug,bundesland,meta_beschreibung,intro_text
Aachen,aachen,Nordrhein-Westfalen,,
Aalen,aalen,Baden-Württemberg,,
Augsburg,augsburg,Bayern,,
Bad Essen,bad-essen,Niedersachsen,,
Bad Schwartau,bad-schwartau,Schleswig-Holstein,,
Bamberg,bamberg,Bayern,,
Berlin,berlin,Berlin,,
Bielefeld,bielefeld,Nordrhein-Westfalen,,
Bochum,bochum,Nordrhein-Westfalen,,
Bonn,bonn,Nordrhein-Westfalen,,
Bous,bous,Saarland,,
Braunschweig,braunschweig,Niedersachsen,,
Bremen,bremen,Bremen,,
Chemnitz,chemnitz,Sachsen,,
Dortmund,dortmund,Nordrhein-Westfalen,,
Dresden,dresden,Sachsen,,
Duisburg,duisburg,Nordrhein-Westfalen,,
Düsseldorf,duesseldorf,Nordrhein-Westfalen,,
Eltville am Rhein,eltville-am-rhein,Hessen,,
Erfurt,erfurt,Thüringen,,
Essen,essen,Nordrhein-Westfalen,,
Flensburg,flensburg,Schleswig-Holstein,,
Frankfurt am Main,frankfurt-am-main,Hessen,,
Freiburg,freiburg,Baden-Württemberg,,
Freiburg im Breisgau,freiburg-im-breisgau,Baden-Württemberg,,
Gießen,giessen,Hessen,,
Hamburg,hamburg,Hamburg,,
Hannover,hannover,Niedersachsen,,
Heidelberg,heidelberg,Baden-Württemberg,,
Heppenheim,heppenheim,Hessen,,
Homburg,homburg,Saarland,,
Ingolstadt,ingolstadt,Bayern,,
Karlsruhe,karlsruhe,Baden-Württemberg,,
Kassel,kassel,Hessen,,
Kaufbeuren,kaufbeuren,Bayern,,
Kiel,kiel,Schleswig-Holstein,,
Kleinmachnow,kleinmachnow,Brandenburg,,
Koblenz,koblenz,Rheinland-Pfalz,,
Konstanz,konstanz,Baden-Württemberg,,
Krefeld,krefeld,Nordrhein-Westfalen,,
Kressbronn am Bodensee,kressbronn-am-bodensee,Baden-Württemberg,,
Köln,koeln,Nordrhein-Westfalen,,
Landau in der Pfalz,landau-in-der-pfalz,Rheinland-Pfalz,,
Langenhagen,langenhagen,Niedersachsen,,
Lehrte,lehrte,Niedersachsen,,
Leipzig,leipzig,Sachsen,,
Leonberg,leonberg,Baden-Württemberg,,
Lindau (Bodensee),lindau-bodensee,Bayern,,
Magdeburg,magdeburg,Sachsen-Anhalt,,
Mainz,mainz,Rheinland-Pfalz,,
Mannheim,mannheim,Baden-Württemberg,,
Merzig,merzig,Saarland,,
Mönchengladbach,moenchengladbach,Nordrhein-Westfalen,,
München,muenchen,Bayern,,
Münster,muenster,Nordrhein-Westfalen,,
Norderstedt,norderstedt,Schleswig-Holstein,,
Nürnberg,nuernberg,Bayern,,
Offenbach am Main,offenbach-am-main,Hessen,,
Oldenburg,oldenburg,Niedersachsen,,
Osnabrück,osnabrueck,Niedersachsen,,
Paderborn,paderborn,Nordrhein-Westfalen,,
Passau,passau,Bayern,,
Pfungstadt (bei Darmstadt),pfungstadt-bei-darmstadt,Hessen,,
Potsdam,potsdam,Brandenburg,,
Regensburg,regensburg,Bayern,,
Reutlingen,reutlingen,Baden-Württemberg,,
Rosenheim,rosenheim,Bayern,,
Rostock,rostock,Mecklenburg-Vorpommern,,
Saarbrücken,saarbruecken,Saarland,,
Schorndorf,schorndorf,Baden-Württemberg,,
Solingen,solingen,Nordrhein-Westfalen,,
Straelen,straelen,Nordrhein-Westfalen,,
Stuttgart,stuttgart,Baden-Württemberg,,
Traunstein,traunstein,Bayern,,
Ulm,ulm,Baden-Württemberg,,
Urbar,urbar,Rheinland-Pfalz,,
Weimar,weimar,Thüringen,,
Wennigsen,wennigsen,Niedersachsen,,
Westerstede,westerstede,Niedersachsen,,
Wiesbaden,wiesbaden,Hessen,,
Willich,willich,Nordrhein-Westfalen,,
Wuppertal,wuppertal,Nordrhein-Westfalen,,
Würzburg,wuerzburg,Bayern,,
